lead_time,model_name,actual,predicted,count
T+1,XGBoost,non_alert,non_alert,1504
T+1,XGBoost,non_alert,alert,11
T+1,XGBoost,alert,non_alert,6
T+1,XGBoost,alert,alert,669
T+3,LightGBM,non_alert,non_alert,1493
T+3,LightGBM,non_alert,alert,16
T+3,LightGBM,alert,non_alert,23
T+3,LightGBM,alert,alert,652
T+7,LightGBM,non_alert,non_alert,1478
T+7,LightGBM,non_alert,alert,19
T+7,LightGBM,alert,non_alert,82
T+7,LightGBM,alert,alert,593
T+10,XGBoost,non_alert,non_alert,1467
T+10,XGBoost,non_alert,alert,21
T+10,XGBoost,alert,non_alert,49
T+10,XGBoost,alert,alert,626
