lead_time,model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
T+1,LightGBM,0.9886,0.9882,0.9753,0.9817,0.9993,0.9987,0.985
T+1,RandomForest,0.9877,0.9701,0.9913,0.9806,0.9994,0.9988,0.9886
T+1,XGBoost,0.9895,0.9854,0.9811,0.9832,0.9993,0.9988,0.9872
T+10,LightGBM,0.9575,0.9627,0.901,0.9308,0.9947,0.9875,0.9424
T+10,RandomForest,0.9565,0.9147,0.952,0.933,0.991,0.9723,0.9553
T+10,XGBoost,0.963,0.9564,0.9258,0.9408,0.995,0.9882,0.9531
T+3,LightGBM,0.9789,0.972,0.9607,0.9663,0.9983,0.9963,0.974
T+3,RandomForest,0.9707,0.977,0.9287,0.9522,0.998,0.9958,0.9593
T+3,XGBoost,0.9771,0.9804,0.9461,0.963,0.9987,0.9971,0.9687
T+7,LightGBM,0.954,0.9666,0.885,0.924,0.995,0.9888,0.9354
T+7,RandomForest,0.9581,0.9715,0.8937,0.931,0.9932,0.9817,0.9408
T+7,XGBoost,0.9673,0.9516,0.9447,0.9481,0.9958,0.9906,0.9612
