lead_time,best_model,rank,feature,mean_abs_shap,direction_summary,operational_meaning
T+1,RandomForest,1,log_cyano,0.12229334381939586,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,2,log_cyano_lag1,0.07072111330734505,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,3,log_cyano_roll7_max,0.056157407537925176,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,4,log_cyano_lag3,0.03917946256485564,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,5,log_cyano_roll7,0.032776556112713906,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,6,log_cyano_roll14,0.021039315260091195,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,7,log_cyano_lag7,0.018210901604227378,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,8,log_cyano_lag10,0.015357011908677788,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,9,hoenam_log_cyano_lag7,0.01488425250625735,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,10,log_cyano_lag14,0.009283111118578352,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,11,hoenam_log_cyano_lag10,0.009159411108298732,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,12,수온(℃),0.007948783370947125,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,13,water_temp_lag1,0.007272282729809923,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,14,water_temp_mean_3d,0.0071274980380607806,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,15,water_temp_mean_7d,0.00637128944845364,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,16,hoenam_log_cyano_lag14,0.006309852638700876,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,17,water_temp_lag3,0.006083286332089549,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,18,water_temp_lag7,0.005788972000935193,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,19,month_sin,0.0054910536778943414,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,20,doy_cos,0.004664407832665348,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,21,탁도,0.004567090588272225,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,22,dayofyear,0.0041375450692378935,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,23,최저기온(°C),0.003799593600028093,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,24,log_cyano_roll30,0.003542661700141017,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,25,평균기온(°C),0.0032877027645645254,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,26,doy_sin,0.002915122480027041,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,27,월,0.002770377016465213,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,28,DO(㎎/L),0.0026763142831809053,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,29,flow_balance_7d,0.0024550418648407,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,RandomForest,30,총방류량(㎥/s),0.002361902179035516,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,1,log_cyano,4.192641735076904,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,2,doy_sin,0.5957055687904358,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,3,탁도,0.3664267957210541,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,4,DO(㎎/L),0.31834688782691956,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,5,log_cyano_lag1,0.3144785761833191,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,6,최저기온(°C),0.27074703574180603,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,7,hoenam_log_cyano_lag10,0.2567901015281677,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,8,hoenam_log_cyano_lag14,0.24538178741931915,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,9,doy_cos,0.24477720260620117,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,10,log_cyano_lag10,0.21159574389457703,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,11,총방류량(㎥/s),0.19460895657539368,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,12,log_cyano_roll7_max,0.19112832844257355,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,13,취수량2,0.18876703083515167,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,14,취수량1,0.1524307131767273,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,15,log_cyano_lag3,0.14698705077171326,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,16,chla_lag7,0.14337210357189178,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,17,chla_lag1,0.13806277513504028,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,18,chla_lag14,0.13759173452854156,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,19,평균기온(°C),0.13330987095832825,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,20,chla_roll7,0.12659838795661926,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,21,flow_balance,0.12488173693418503,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,22,pH,0.12300032377243042,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,23,log_cyano_roll14,0.11991895735263824,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
