lead_time,model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
T+1,RandomForest,0.8973,0.9891,0.6741,0.8018,0.981,0.9652,0.8354
T+1,XGBoost,0.9237,0.9739,0.7733,0.8621,0.9859,0.971,0.882
T+1,LightGBM,0.9055,0.9553,0.7274,0.8259,0.9823,0.9601,0.8561
T+3,RandomForest,0.9029,0.9853,0.6963,0.816,0.9848,0.9703,0.8458
T+3,XGBoost,0.9336,0.9431,0.8356,0.8861,0.9851,0.9692,0.9065
T+3,LightGBM,0.9125,0.9515,0.7556,0.8423,0.982,0.9582,0.8692
T+7,RandomForest,0.884,0.9953,0.6296,0.7713,0.9841,0.9709,0.8141
T+7,XGBoost,0.907,0.9739,0.72,0.8279,0.9886,0.9748,0.8557
T+7,LightGBM,0.8812,0.9728,0.6356,0.7688,0.9873,0.9702,0.8138
T+10,RandomForest,0.8877,0.9821,0.6519,0.7836,0.9851,0.9699,0.8232
T+10,XGBoost,0.9242,0.9688,0.7822,0.8656,0.9912,0.9817,0.8854
T+10,LightGBM,0.8816,0.9816,0.6326,0.7694,0.9865,0.9704,0.8136
