lead_time,best_model,rank,feature,mean_abs_shap
T+1,XGBoost,1,doy_sin,1.4896279573440552
T+1,XGBoost,2,연도,0.9377727508544922
T+1,XGBoost,3,탁도,0.7796808481216431
T+1,XGBoost,4,dayofyear,0.6070248484611511
T+1,XGBoost,5,month_sin,0.5471529960632324
T+1,XGBoost,6,pH,0.500421404838562
T+1,XGBoost,7,Chl-a (㎎/㎥),0.34701958298683167
T+1,XGBoost,8,air_temp_mean_14d,0.2434864491224289
T+1,XGBoost,9,수온(℃),0.21167905628681183
T+1,XGBoost,10,수위(EL.m),0.20249247550964355
T+1,XGBoost,11,rain_sum_30d,0.19924458861351013
T+1,XGBoost,12,채수위치_추동,0.17129553854465485
T+1,XGBoost,13,DO(㎎/L),0.17101041972637177
T+1,XGBoost,14,air_temp_mean_7d,0.16719794273376465
T+1,XGBoost,15,water_temp_lag14,0.16656415164470673
T+1,XGBoost,16,chla_roll14,0.16609035432338715
T+1,XGBoost,17,예년저수위,0.15921807289123535
T+1,XGBoost,18,chla_lag14,0.15706178545951843
T+1,XGBoost,19,water_temp_mean_3d,0.12164165079593658
T+1,XGBoost,20,solar_mean_14d,0.12019657343626022
T+1,XGBoost,21,doy_cos,0.10720772296190262
T+1,XGBoost,22,취수량2,0.09846228361129761
T+1,XGBoost,23,전년저수위,0.09310710430145264
T+1,XGBoost,24,water_temp_mean_7d,0.08254886418581009
T+1,XGBoost,25,총방류량(㎥/s),0.06911677867174149
T+1,XGBoost,26,flow_balance_14d,0.06577884405851364
T+1,XGBoost,27,chla_lag7,0.05854226276278496
T+1,XGBoost,28,평균기온(°C),0.055177848786115646
T+1,XGBoost,29,rain_sum_7d,0.0495714470744133
T+1,XGBoost,30,채수위치_회남,0.04887187480926514
T+3,RandomForest,1,doy_sin,0.035704191954734274
T+3,RandomForest,2,dayofyear,0.029180963239619852
T+3,RandomForest,3,month_sin,0.027305133697309626
T+3,RandomForest,4,연도,0.02717031609680515
T+3,RandomForest,5,탁도,0.024986137142403175
T+3,RandomForest,6,water_temp_lag1,0.02291629385340128
T+3,RandomForest,7,water_temp_mean_3d,0.021607152770240962
T+3,RandomForest,8,water_temp_mean_14d,0.020580894633599415
T+3,RandomForest,9,water_temp_lag7,0.01898265577084669
T+3,RandomForest,10,water_temp_lag14,0.018202928522355964
T+3,RandomForest,11,water_temp_lag3,0.01769440313497577
T+3,RandomForest,12,water_temp_mean_7d,0.017283303242464146
T+3,RandomForest,13,doy_cos,0.017184715034497613
T+3,RandomForest,14,air_temp_mean_14d,0.015738059711798338
T+3,RandomForest,15,수온(℃),0.014577520899087048
T+3,RandomForest,16,water_temp_lag10,0.014292559343816865
T+3,RandomForest,17,월,0.011986060742172405
T+3,RandomForest,18,air_temp_mean_7d,0.0116852741393605
T+3,RandomForest,19,취수량2,0.010260820423042197
T+3,RandomForest,20,예년저수위,0.010201890163519056
T+3,RandomForest,21,rain_sum_30d,0.00994041807849322
T+3,RandomForest,22,Chl-a (㎎/㎥),0.008737828847704587
T+3,RandomForest,23,평균기온(°C),0.008330057551887406
T+3,RandomForest,24,month_cos,0.008031722661195667
T+3,RandomForest,25,air_temp_mean_3d,0.007805109692343176
T+3,RandomForest,26,pH,0.00766980290698972
T+3,RandomForest,27,최저기온(°C),0.007394498736733545
T+3,RandomForest,28,chla_roll7,0.006469034146507695
T+3,RandomForest,29,chla_roll14,0.006325707569574037
T+3,RandomForest,30,DO(㎎/L),0.00616883068700197
T+7,XGBoost,1,doy_sin,1.101675033569336
T+7,XGBoost,2,탁도,0.9428002834320068
T+7,XGBoost,3,연도,0.7869797945022583
T+7,XGBoost,4,month_sin,0.5320965051651001
T+7,XGBoost,5,dayofyear,0.45905032753944397
T+7,XGBoost,6,air_temp_mean_14d,0.3266586363315582
T+7,XGBoost,7,rain_sum_30d,0.3137764036655426
T+7,XGBoost,8,water_temp_lag14,0.2958093285560608
T+7,XGBoost,9,chla_roll14,0.23917001485824585
T+7,XGBoost,10,air_temp_mean_7d,0.22925624251365662
T+7,XGBoost,11,water_temp_mean_3d,0.21311348676681519
T+7,XGBoost,12,취수량2,0.18989025056362152
T+7,XGBoost,13,채수위치_추동,0.17981916666030884
T+7,XGBoost,14,Chl-a (㎎/㎥),0.1735965460538864
T+7,XGBoost,15,pH,0.17283247411251068
T+7,XGBoost,16,수온(℃),0.15697863698005676
T+7,XGBoost,17,수위(EL.m),0.14613161981105804
T+7,XGBoost,18,water_temp_lag7,0.12110109627246857
T+7,XGBoost,19,doy_cos,0.11777320504188538
T+7,XGBoost,20,water_temp_lag10,0.11276882141828537
T+7,XGBoost,21,DO(㎎/L),0.1017557680606842
T+7,XGBoost,22,flow_balance_14d,0.07282014191150665
T+7,XGBoost,23,water_temp_mean_7d,0.0705500915646553
T+7,XGBoost,24,HRT_14d,0.0704958364367485
T+7,XGBoost,25,예년저수위,0.06524597108364105
T+7,XGBoost,26,chla_lag10,0.06122887134552002
T+7,XGBoost,27,CHD,0.0598803274333477
T+7,XGBoost,28,취수량3,0.05291618034243584
T+7,XGBoost,29,rain_sum_14d,0.050649017095565796
