종(한글),주요 SHAP 변수,신호 의미,권고 대응 액션,SHAP 중요도
마이크로시스티스,log_microcystis_lag1,과거 마이크로시스티스 농도,조류 제거선 선제 가동 / 활성탄 준비,1.71469
마이크로시스티스,DO(㎎/L),DO(㎎/L),추가 전문가 해석 필요,0.43004
마이크로시스티스,log_cyano_lag1,총 남조류 선행 농도,경보 임박 신호 → 행동 단계 즉시 격상,0.39668
아나베나,log_anabaena_lag1,과거 아나베나 농도,관심 단계 즉시 모니터링 강화,0.73641
아나베나,예년저수위,예년저수위,추가 전문가 해석 필요,0.16986
아나베나,DO(㎎/L),DO(㎎/L),추가 전문가 해석 필요,0.16344
오실라토리아,log_oscillatoria_lag1,과거 오실라토리아 농도,탁도 연계 모니터링 / 폭기 조절,1.04405
오실라토리아,log_microcystis_lag1,과거 마이크로시스티스 농도,조류 제거선 선제 가동 / 활성탄 준비,0.26228
오실라토리아,pH,pH,추가 전문가 해석 필요,0.19728
아파니조메논,log_aphanizomenon_lag1,과거 아파니조메논 농도,저수율 연계 방류 조절,1.42778
아파니조메논,log_aphanizomenon_lag3,과거 아파니조메논 농도,저수율 연계 방류 조절,0.19984
아파니조메논,탁도,탁도,탁도 급증 시 세포수 동반 증가 여부 확인,0.19967
