species,lead_time,rank,feature,mean_abs_shap
microcystis,T+7,1,log_microcystis_lag1,1.7146880626678467
microcystis,T+7,2,DO(㎎/L),0.4300353527069092
microcystis,T+7,3,log_cyano_lag1,0.39668354392051697
microcystis,T+7,4,탁도,0.2560632824897766
microcystis,T+7,5,doy_cos,0.23516568541526794
microcystis,T+7,6,log_microcystis_roll7,0.19733038544654846
microcystis,T+7,7,log_cyano_lag14,0.145294651389122
microcystis,T+7,8,Chl-a (㎎/㎥),0.12057816237211227
microcystis,T+7,9,wtemp_lag7,0.1047002375125885
microcystis,T+7,10,log_microcystis_lag14,0.10127921402454376
microcystis,T+7,11,취수량2,0.07481381297111511
microcystis,T+7,12,log_microcystis_lag3,0.05578102171421051
microcystis,T+7,13,최저기온(°C),0.05531289428472519
microcystis,T+7,14,총방류량(㎥/s),0.05405130237340927
microcystis,T+7,15,doy_sin,0.051560014486312866
microcystis,T+10,1,log_microcystis_lag1,0.8594597578048706
microcystis,T+10,2,log_cyano_lag1,0.6889623999595642
microcystis,T+10,3,DO(㎎/L),0.5398159027099609
microcystis,T+10,4,탁도,0.3028786778450012
microcystis,T+10,5,doy_cos,0.2600480020046234
microcystis,T+10,6,wtemp_lag7,0.18711374700069427
microcystis,T+10,7,Chl-a (㎎/㎥),0.11476479470729828
microcystis,T+10,8,log_microcystis_lag14,0.10189096629619598
microcystis,T+10,9,log_microcystis_roll7,0.09484478086233139
microcystis,T+10,10,log_cyano_lag14,0.08609779179096222
microcystis,T+10,11,취수량2,0.08594141155481339
microcystis,T+10,12,총방류량(㎥/s),0.0796031728386879
microcystis,T+10,13,log_microcystis_lag3,0.07791242748498917
microcystis,T+10,14,수위(EL.m),0.07084950059652328
microcystis,T+10,15,log_microcystis_lag7,0.06690514832735062
anabaena,T+7,1,log_anabaena_lag1,0.7364078760147095
anabaena,T+7,2,예년저수위,0.16985756158828735
anabaena,T+7,3,DO(㎎/L),0.16343653202056885
anabaena,T+7,4,pH,0.1430002599954605
anabaena,T+7,5,doy_cos,0.1164863184094429
anabaena,T+7,6,log_microcystis_lag7,0.10895463079214096
anabaena,T+7,7,rain_14d,0.10647600889205933
anabaena,T+7,8,log_anabaena_roll7,0.09568174183368683
anabaena,T+7,9,총방류량(㎥/s),0.07996401190757751
anabaena,T+7,10,HRT_7d,0.07651762664318085
anabaena,T+7,11,log_aphanizomenon_lag1,0.0756523534655571
anabaena,T+7,12,year,0.0733928233385086
anabaena,T+7,13,수온(℃),0.06853125244379044
anabaena,T+7,14,chla_lag7,0.06800184398889542
anabaena,T+7,15,log_aphanizomenon_lag14,0.0662175640463829
anabaena,T+10,1,log_anabaena_lag1,0.518812894821167
anabaena,T+10,2,예년저수위,0.23719921708106995
anabaena,T+10,3,최저기온(°C),0.21491098403930664
anabaena,T+10,4,DO(㎎/L),0.1662924587726593
anabaena,T+10,5,pH,0.15905198454856873
anabaena,T+10,6,총방류량(㎥/s),0.11639636754989624
anabaena,T+10,7,year,0.11003697663545609
anabaena,T+10,8,doy_cos,0.107717365026474
anabaena,T+10,9,수온(℃),0.10631483793258667
anabaena,T+10,10,HRT_7d,0.0904075875878334
anabaena,T+10,11,투명도,0.08372681587934494
anabaena,T+10,12,log_microcystis_lag7,0.08234021812677383
anabaena,T+10,13,rain_14d,0.07936209440231323
anabaena,T+10,14,log_anabaena_roll7,0.07817863672971725
anabaena,T+10,15,평균기온(°C),0.07034409046173096
oscillatoria,T+7,1,log_oscillatoria_lag1,1.0440505743026733
oscillatoria,T+7,2,log_microcystis_lag1,0.26227766275405884
oscillatoria,T+7,3,pH,0.19727875292301178
oscillatoria,T+7,4,DO(㎎/L),0.1680290848016739
oscillatoria,T+7,5,doy_sin,0.12125348299741745
oscillatoria,T+7,6,wtemp_14d,0.10559847950935364
oscillatoria,T+7,7,wtemp_lag7,0.0812768042087555
oscillatoria,T+7,8,log_cyano_lag1,0.06486917287111282
oscillatoria,T+7,9,solar_7d,0.0638861358165741
oscillatoria,T+7,10,rain_14d,0.05768774822354317
oscillatoria,T+7,11,log_oscillatoria_lag3,0.05761244148015976
oscillatoria,T+7,12,log_microcystis_lag14,0.04942028224468231
oscillatoria,T+7,13,취수량2,0.04675043746829033
oscillatoria,T+7,14,CHD,0.04274432733654976
oscillatoria,T+7,15,chla_lag1,0.04027651250362396
oscillatoria,T+10,1,log_oscillatoria_lag1,0.8020616769790649
oscillatoria,T+10,2,log_microcystis_lag1,0.2937094271183014
oscillatoria,T+10,3,pH,0.23020364344120026
oscillatoria,T+10,4,DO(㎎/L),0.19256699085235596
oscillatoria,T+10,5,doy_sin,0.17376622557640076
oscillatoria,T+10,6,wtemp_14d,0.13805821537971497
oscillatoria,T+10,7,wtemp_lag7,0.10475421696901321
oscillatoria,T+10,8,month_sin,0.08730245381593704
oscillatoria,T+10,9,log_cyano_lag14,0.0810132622718811
oscillatoria,T+10,10,log_cyano_lag1,0.06819017231464386
oscillatoria,T+10,11,수온(℃),0.05963187292218208
oscillatoria,T+10,12,solar_7d,0.05542375147342682
oscillatoria,T+10,13,예년저수위,0.05470839515328407
oscillatoria,T+10,14,HRT_7d,0.052257947623729706
oscillatoria,T+10,15,wtemp_3d,0.051615335047245026
aphanizomenon,T+7,1,log_aphanizomenon_lag1,1.4277783632278442
aphanizomenon,T+7,2,log_aphanizomenon_lag3,0.19984400272369385
aphanizomenon,T+7,3,탁도,0.1996726393699646
aphanizomenon,T+7,4,DO(㎎/L),0.15342660248279572
aphanizomenon,T+7,5,log_cyano_lag7,0.11788110435009003
aphanizomenon,T+7,6,일조시간 합계(hr),0.11692506074905396
aphanizomenon,T+7,7,전년저수위,0.1045730710029602
aphanizomenon,T+7,8,log_aphanizomenon_roll7,0.10222955793142319
aphanizomenon,T+7,9,수위(EL.m),0.08814506232738495
aphanizomenon,T+7,10,log_microcystis_lag7,0.07882252335548401
aphanizomenon,T+7,11,pH,0.07451514899730682
aphanizomenon,T+7,12,doy_sin,0.06949767470359802
aphanizomenon,T+7,13,예년저수위,0.06027320399880409
aphanizomenon,T+7,14,수온(℃),0.06020417809486389
aphanizomenon,T+7,15,log_cyano_lag14,0.05455230176448822
aphanizomenon,T+10,1,log_aphanizomenon_lag1,1.0171228647232056
aphanizomenon,T+10,2,DO(㎎/L),0.20094770193099976
aphanizomenon,T+10,3,탁도,0.19795943796634674
aphanizomenon,T+10,4,전년저수위,0.15284019708633423
aphanizomenon,T+10,5,log_cyano_lag7,0.13402113318443298
aphanizomenon,T+10,6,log_aphanizomenon_roll7,0.13114777207374573
aphanizomenon,T+10,7,일조시간 합계(hr),0.12479358911514282
aphanizomenon,T+10,8,doy_sin,0.12384519726037979
aphanizomenon,T+10,9,pH,0.10149682313203812
aphanizomenon,T+10,10,수위(EL.m),0.0965760126709938
aphanizomenon,T+10,11,log_cyano_lag1,0.09031409025192261
aphanizomenon,T+10,12,log_aphanizomenon_lag3,0.07663635909557343
aphanizomenon,T+10,13,Chl-a (㎎/㎥),0.064024418592453
aphanizomenon,T+10,14,투명도,0.06298979371786118
aphanizomenon,T+10,15,log_microcystis_lag7,0.060872599482536316
