瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
131,没林,2016-01-01,1.5,-4.2,6.2,,.8,68.1,5.4,7.49,5.6
131,没林,2016-01-02,6,1.4,11.5,,.9,65.5,5.6,5.57,6.1
131,没林,2016-01-03,6.5,2,11.3,,.7,77.8,4.3,6.1,5.5
131,没林,2016-01-04,4.4,.3,7,,1.7,51,7.5,7.85,4.9
131,没林,2016-01-05,-.6,-2.3,2.7,,1.5,32,5.3,7.38,4
131,没林,2016-01-06,-.1,-4.9,3.4,,1.2,49.3,3.6,6.26,6.8
131,没林,2016-01-07,-.6,-2.8,2.7,,1.6,46.8,7.9,8.97,3.3
131,没林,2016-01-08,-.9,-3.8,2.3,,1.4,44.9,8.8,9.72,3.5
131,没林,2016-01-09,.7,-1.9,4.9,,1.1,50.6,7.7,8.52,7
131,没林,2016-01-10,1.2,-1,4.6,,1.1,46.8,3.5,4.96,4.9
131,没林,2016-01-11,-1.6,-3.8,2.2,,1.4,38,8.6,9.76,1.1
131,没林,2016-01-12,-3.2,-7.3,1.6,,1.3,46.6,8.9,10.2,2.1
131,没林,2016-01-13,-2.3,-4.9,.9,.9,1.4,72,3.4,7.01,7.6
131,没林,2016-01-14,-1.8,-5.8,2.1,,1.2,44,8.6,10.21,2.9
131,没林,2016-01-15,.1,-3.5,4.9,,.9,58.9,6.8,8.2,4.3
131,没林,2016-01-16,.3,-4.1,5.8,,1.1,59.4,4.9,7,4.3
131,没林,2016-01-17,2,-1.2,6.2,1,1.3,69.8,0,4.03,9.5
131,没林,2016-01-18,-4.4,-9.8,1.6,2,2.4,76.4,3.6,4.71,8.8
131,没林,2016-01-19,-9.8,-12,-6.8,.8,2.5,65.6,5.3,8.53,6.5
131,没林,2016-01-20,-9.4,-13.1,-5.8,,1,55.1,6.8,8.27,4.6
131,没林,2016-01-21,-6.5,-10.1,-2.5,,1,56.9,5.3,8.2,4.8
131,没林,2016-01-22,-6,-10.5,-1.5,,1.1,45.8,7.2,10.86,4.8
131,没林,2016-01-23,-9.2,-13.5,-5.2,.7,2.8,49,8.1,10.75,6.4
131,没林,2016-01-24,-13.2,-16.3,-10.7,.1,1.5,56.4,8.2,10.25,5.6
131,没林,2016-01-25,-8.3,-13.4,-3.3,0,.5,60.3,9.2,12.67,2
131,没林,2016-01-26,-2.4,-7.3,2.7,.2,.5,67.9,5.1,7.75,6
131,没林,2016-01-27,-.6,-5.4,4.4,,.5,63.9,8.1,9.63,2.5
131,没林,2016-01-28,-.5,-5.2,2.5,0,1.2,59.3,.1,3.36,8.4
131,没林,2016-01-29,2.8,.4,5.3,0,2,62.4,0,2.39,9.8
131,没林,2016-01-30,2.1,-.8,7.7,,1.3,59.1,4.8,8.27,5.3
131,没林,2016-01-31,-2,-3.7,1.7,,1.8,47,8.7,10.5,3.4
131,没林,2016-02-01,-4.6,-7,-.7,,1.8,40.6,9.6,12.83,1.1
131,没林,2016-02-02,-4.2,-8.8,1,,1.3,42,9.6,12.93,0
131,没林,2016-02-03,-2,-9.1,4,,1,48.1,9.2,11.88,.4
131,没林,2016-02-04,-.1,-4.2,4.7,,1.5,46,7.7,10.33,3.5
131,没林,2016-02-05,-.8,-4.4,3.7,,1.5,36.5,9.8,11.74,1.1
131,没林,2016-02-06,-2.1,-4.3,1.7,,1.5,39.5,9.8,13.09,1
131,没林,2016-02-07,-2.6,-9.4,3.3,,.8,43.8,9.8,13.7,0
131,没林,2016-02-08,1.5,-6.1,6.9,,1.6,49.5,6.9,9.6,5.4
131,没林,2016-02-09,2.1,-1.1,6.3,,2.1,41,9.7,13.24,1.1
131,没林,2016-02-10,2.5,-4.6,10.9,,.7,44,9.9,13.91,0
131,没林,2016-02-11,7,-.5,13.9,0,1.1,32.8,3.9,8.31,6.6
