조사일,댐코드,댐명,저수위,저수량,유입량,총방류량,저수율,전년저수위,예년저수위,예년저수량,강수량,금년누가강우량,전년누가강우량,예년평균누가강우량,발전방류량,여수로방류량,기타방류량1,기타방류량2,기타방류량3,취수량1,취수량2,취수량3,outlet방류량,07시강수량,예년강수량,기타발전방류량
2025-11-07,3008110,대청,75.089,1105.2745,26.364,26.364,74.18,74.2768,72.6063,1055.1504,0.0,1182.7152,1275.3569,1163.7141,14.65,0.0,0,0,0.0,6.052,4.754,0.908,0,,1.3959,0
2025-11-06,3008110,대청,75.089,1105.2745,28.121,33.117,74.18,74.2869,72.6205,1055.7654,0.0,1182.7152,1275.3569,1162.3182,21.45,0.0,0,0,0.0,6.064,4.698,0.905,0,,2.5758,0
2025-11-05,3008110,대청,75.0959,1105.7061,31.616,32.63,74.21,74.305,72.6349,1056.8681,0.0,1182.7152,1275.3569,1159.7424,21.444,0.0,0,0,0.0,5.59,4.691,0.905,0,,1.5673,0
2025-11-04,3008110,대청,75.0973,1105.7937,23.616,32.09,74.21,74.3228,72.6496,1057.9531,0.0,1182.7152,1275.3569,1158.1751,21.427,0.0,0,0,0.0,5.07,4.742,0.851,0,,0.1808,0
2025-11-03,3008110,대청,75.109,1106.5258,32.367,32.367,74.26,74.3388,72.6711,1058.929,0.0,1182.7152,1275.3569,1157.9943,21.436,0.0,0,0,0.0,6.03,4.68,0.221,0,,0.3454,0
2025-11-02,3008110,대청,75.109,1106.5258,32.962,31.513,74.26,74.3499,72.6883,1059.6064,1.6358,1182.7152,1275.3569,1157.6489,21.459,0.0,0,0,0.0,5.405,4.597,0.052,0,,0.4301,0
2025-11-01,3008110,대청,75.107,1106.4007,32.9,32.176,74.26,74.3608,72.7001,1060.2717,1.2242,1181.0794,1274.877,1157.2188,21.448,0.0,0,0,0.0,5.949,4.729,0.05,0,,1.3295,0
2025-10-31,3008110,대청,75.106,1106.3381,33.944,31.771,74.25,74.3669,72.7097,1060.6442,0.0,1179.8552,1271.6237,1155.8893,21.446,0.0,0,0,0.0,5.567,4.758,0.0,0,,1.6979,0
2025-10-30,3008110,대청,75.103,1106.1504,27.946,29.974,74.24,74.3782,72.7263,1061.3344,0.0,1179.8552,1271.6237,1154.1914,21.447,0.0,0,0,0.0,3.831,4.696,0.0,0,,0.0019,0
2025-10-29,3008110,대청,75.1058,1106.3256,46.401,32.137,74.25,74.379,72.7477,1061.3832,0.0,1179.8552,1271.6237,1154.1895,21.452,0.0,0,0,0.0,6.123,4.562,0.0,0,,0.0705,0
2025-10-28,3008110,대청,75.0861,1105.0931,45.817,31.996,74.17,74.388,72.7651,1061.9332,0.0,1179.8552,1271.6237,1154.119,21.446,0.0,0,0,0.0,6.019,4.531,0.0,0,,1.0895,0
2025-10-27,3008110,대청,75.067,1103.899,45.109,32.164,74.09,74.3859,72.782,1061.8048,0.0,1179.8552,1271.2825,1153.0295,21.446,0.0,0,0,0.0,5.984,4.734,0.0,0,,1.7314,0
2025-10-26,3008110,대청,75.0491,1102.7806,48.428,173.709,74.01,74.3781,72.7961,1061.3283,0.055,1179.8552,1269.7228,1151.2981,163.324,0.0,0,0,0.0,5.799,4.586,0.0,0,,0.9421,0
2025-10-25,3008110,대청,75.2219,1113.6049,61.452,213.924,74.74,74.361,72.8176,1060.2839,0.0,1179.8002,1269.7228,1150.356,203.261,0.0,0,0,0.0,5.937,4.726,0.0,0,,0.9106,0
2025-10-24,3008110,대청,75.4309,1126.7785,72.159,225.739,75.62,74.336,72.839,1058.7582,0.0,1179.8002,1269.7228,1149.4454,214.858,0.0,0,0,0.0,6.204,4.677,0.0,0,,0.1204,0
2025-10-23,3008110,대청,75.64,1140.0478,83.154,207.148,76.51,74.283,72.8585,1055.5279,0.0,1179.8002,1269.7228,1149.325,196.797,0.0,0,0,0.0,5.66,4.691,0.0,0,,0.3418,0
2025-10-22,3008110,대청,75.8078,1150.7609,100.896,221.311,77.23,74.2326,72.8735,1052.4614,0.0,1179.8002,1268.0882,1148.9832,210.644,0.0,0,0,0.0,6.065,4.602,0.0,0,,6.2968,0
